Date,Open,High,Low,Close,Volume
2024-01-02,418.00,422.50,415.00,420.25,15000
2024-01-03,420.25,424.75,417.50,421.00,18000
2024-01-04,421.00,425.50,418.00,421.75,12000
2024-01-05,421.75,426.25,419.50,423.50,22000
2024-01-08,423.50,428.00,420.00,424.25,16000
2024-01-09,424.25,428.75,421.50,425.00,28000
2024-01-10,425.00,429.50,422.00,425.75,17000
2024-01-11,425.75,430.25,423.50,427.50,35000
2024-01-12,427.50,432.00,424.00,428.25,22000
2024-01-15,428.25,432.75,425.50,429.00,42000
2024-01-16,429.00,433.50,426.00,429.75,28000
2024-01-17,429.75,434.25,426.50,430.50,38000
2024-01-18,430.50,435.00,427.00,431.25,25000
2024-01-19,431.25,435.75,428.50,432.00,45000
2024-01-22,432.00,436.50,429.00,432.75,32000
2024-01-23,432.75,437.25,429.50,433.50,48000
2024-01-24,433.50,438.00,430.00,434.25,28000
2024-01-25,434.25,438.75,430.50,435.00,38000
2024-01-26,435.00,439.50,431.00,435.75,42000
2024-01-29,435.75,440.25,432.50,436.50,55000
2024-01-30,436.50,441.00,433.00,437.25,45000
2024-01-31,437.25,441.75,433.50,438.00,68000
2024-02-01,438.00,442.50,434.00,438.75,75000
2024-02-02,438.75,443.25,434.50,439.50,62000
2024-02-05,439.50,444.00,435.00,440.25,58000
2024-02-06,440.25,444.75,435.50,441.00,48000
2024-02-07,441.00,445.50,436.00,441.75,52000
2024-02-08,441.75,446.25,436.50,442.50,68000
2024-02-09,442.50,447.00,437.00,443.25,72000
2024-02-12,443.25,447.75,437.50,444.00,85000
