Date,Open,High,Low,Close,Volume
2024-01-02,18.20,18.45,18.00,18.25,480000
2024-01-03,18.25,18.50,18.05,18.30,520000
2024-01-04,18.30,18.55,18.10,18.35,450000
2024-01-05,18.35,18.60,18.15,18.40,580000
2024-01-08,18.40,18.65,18.20,18.45,420000
2024-01-09,18.45,18.70,18.25,18.50,620000
2024-01-10,18.50,18.75,18.30,18.55,470000
2024-01-11,18.55,18.80,18.35,18.60,650000
2024-01-12,18.60,18.85,18.40,18.65,520000
2024-01-15,18.65,18.90,18.45,18.70,720000
2024-01-16,18.70,18.95,18.50,18.75,580000
2024-01-17,18.75,19.00,18.55,18.80,680000
2024-01-18,18.80,19.05,18.60,18.85,550000
2024-01-19,18.85,19.10,18.65,18.90,780000
2024-01-22,18.90,19.15,18.70,18.95,620000
2024-01-23,18.95,19.20,18.75,19.00,750000
2024-01-24,19.00,19.25,18.80,19.05,580000
2024-01-25,19.05,19.30,18.85,19.10,680000
2024-01-26,19.10,19.35,18.90,19.15,720000
2024-01-29,19.15,19.40,18.95,19.20,850000
2024-01-30,19.20,19.45,19.00,19.25,780000
2024-01-31,19.25,19.50,19.05,19.30,920000
2024-02-01,19.30,19.55,19.10,19.35,1020000
2024-02-02,19.35,19.60,19.15,19.40,950000
2024-02-05,19.40,19.65,19.20,19.45,880000
2024-02-06,19.45,19.70,19.25,19.50,790000
2024-02-07,19.50,19.75,19.30,19.55,840000
2024-02-08,19.55,19.80,19.35,19.60,980000
2024-02-09,19.60,19.85,19.40,19.65,1020000
2024-02-12,19.65,19.90,19.45,19.70,1150000
