Date,Open,High,Low,Close,Volume
2024-01-02,132.50,134.25,131.00,133.75,250000
2024-01-03,133.75,135.50,132.25,134.00,320000
2024-01-04,134.00,135.75,132.50,134.25,180000
2024-01-05,134.25,136.00,133.75,135.50,350000
2024-01-08,135.50,137.25,134.00,135.75,220000
2024-01-09,135.75,137.50,134.25,136.00,380000
2024-01-10,136.00,137.75,134.50,136.25,270000
2024-01-11,136.25,138.00,135.75,137.50,450000
2024-01-12,137.50,139.25,136.00,137.75,320000
2024-01-15,137.75,139.50,136.25,138.00,520000
2024-01-16,138.00,139.75,136.50,138.25,380000
2024-01-17,138.25,140.00,136.75,138.50,480000
2024-01-18,138.50,140.25,137.00,138.75,350000
2024-01-19,138.75,140.50,137.25,139.00,580000
2024-01-22,139.00,140.75,137.50,139.25,420000
2024-01-23,139.25,141.00,137.75,139.50,550000
2024-01-24,139.50,141.25,138.00,139.75,380000
2024-01-25,139.75,141.50,138.25,140.00,480000
2024-01-26,140.00,141.75,138.50,140.25,520000
2024-01-29,140.25,142.00,138.75,140.50,650000
2024-01-30,140.50,142.25,139.00,140.75,580000
2024-01-31,140.75,142.50,139.25,141.00,720000
2024-02-01,141.00,142.75,139.50,141.25,850000
2024-02-02,141.25,143.00,139.75,141.50,750000
2024-02-05,141.50,143.25,140.00,141.75,680000
2024-02-06,141.75,143.50,140.25,142.00,590000
2024-02-07,142.00,143.75,140.50,142.25,640000
2024-02-08,142.25,144.00,140.75,142.50,780000
2024-02-09,142.50,144.25,141.00,142.75,820000
2024-02-12,142.75,144.50,141.25,143.00,950000
