Date,Open,High,Low,Close,Volume
2024-01-02,62.50,63.25,62.00,62.75,850000
2024-01-03,62.75,63.50,62.25,63.00,920000
2024-01-04,63.00,63.75,62.50,63.25,780000
2024-01-05,63.25,64.00,62.75,63.50,950000
2024-01-08,63.50,64.25,63.00,63.75,820000
2024-01-09,63.75,64.50,63.25,64.00,980000
2024-01-10,64.00,64.75,63.50,64.25,870000
2024-01-11,64.25,65.00,63.75,64.50,1050000
2024-01-12,64.50,65.25,64.00,64.75,920000
2024-01-15,64.75,65.50,64.25,65.00,1120000
2024-01-16,65.00,65.75,64.50,65.25,980000
2024-01-17,65.25,66.00,64.75,65.50,1080000
2024-01-18,65.50,66.25,65.00,65.75,950000
2024-01-19,65.75,66.50,65.25,66.00,1180000
2024-01-22,66.00,66.75,65.50,66.25,1020000
2024-01-23,66.25,67.00,65.75,66.50,1150000
2024-01-24,66.50,67.25,66.00,66.75,980000
2024-01-25,66.75,67.50,66.25,67.00,1080000
2024-01-26,67.00,67.75,66.50,67.25,1120000
2024-01-29,67.25,68.00,66.75,67.50,1250000
2024-01-30,67.50,68.25,67.00,67.75,1180000
2024-01-31,67.75,68.50,67.25,68.00,1320000
2024-02-01,68.00,68.75,67.50,68.25,1420000
2024-02-02,68.25,69.00,67.75,68.50,1350000
2024-02-05,68.50,69.25,68.00,68.75,1280000
2024-02-06,68.75,69.50,68.25,69.00,1190000
2024-02-07,69.00,69.75,68.50,69.25,1240000
2024-02-08,69.25,70.00,68.75,69.50,1380000
2024-02-09,69.50,70.25,69.00,69.75,1420000
2024-02-12,69.75,70.50,69.25,70.00,1450000
