Date,Open,High,Low,Close,Volume
2024-01-02,21.80,22.05,21.60,21.85,380000
2024-01-03,21.85,22.10,21.65,21.90,420000
2024-01-04,21.90,22.15,21.70,21.95,350000
2024-01-05,21.95,22.20,21.75,22.00,480000
2024-01-08,22.00,22.25,21.80,22.05,320000
2024-01-09,22.05,22.30,21.85,22.10,520000
2024-01-10,22.10,22.35,21.90,22.15,370000
2024-01-11,22.15,22.40,21.95,22.20,550000
2024-01-12,22.20,22.45,22.00,22.25,420000
2024-01-15,22.25,22.50,22.05,22.30,620000
2024-01-16,22.30,22.55,22.10,22.35,480000
2024-01-17,22.35,22.60,22.15,22.40,580000
2024-01-18,22.40,22.65,22.20,22.45,450000
2024-01-19,22.45,22.70,22.25,22.50,680000
2024-01-22,22.50,22.75,22.30,22.55,520000
2024-01-23,22.55,22.80,22.35,22.60,650000
2024-01-24,22.60,22.85,22.40,22.65,480000
2024-01-25,22.65,22.90,22.45,22.70,580000
2024-01-26,22.70,22.95,22.50,22.75,620000
2024-01-29,22.75,23.00,22.55,22.80,750000
2024-01-30,22.80,23.05,22.60,22.85,680000
2024-01-31,22.85,23.10,22.65,22.90,820000
2024-02-01,22.90,23.15,22.70,22.95,920000
2024-02-02,22.95,23.20,22.75,23.00,850000
2024-02-05,23.00,23.25,22.80,23.05,780000
2024-02-06,23.05,23.30,22.85,23.10,690000
2024-02-07,23.10,23.35,22.90,23.15,740000
2024-02-08,23.15,23.40,22.95,23.20,880000
2024-02-09,23.20,23.45,23.00,23.25,920000
2024-02-12,23.25,23.50,23.05,23.30,1050000
