Date,Open,High,Low,Close,Volume
2024-01-02,44.50,45.25,44.00,44.75,650000
2024-01-03,44.75,45.50,44.25,45.00,720000
2024-01-04,45.00,45.75,44.50,45.25,580000
2024-01-05,45.25,46.00,44.75,45.50,750000
2024-01-08,45.50,46.25,45.00,45.75,620000
2024-01-09,45.75,46.50,45.25,46.00,780000
2024-01-10,46.00,46.75,45.50,46.25,670000
2024-01-11,46.25,47.00,45.75,46.50,850000
2024-01-12,46.50,47.25,46.00,46.75,720000
2024-01-15,46.75,47.50,46.25,47.00,920000
2024-01-16,47.00,47.75,46.50,47.25,780000
2024-01-17,47.25,48.00,46.75,47.50,880000
2024-01-18,47.50,48.25,47.00,47.75,750000
2024-01-19,47.75,48.50,47.25,48.00,980000
2024-01-22,48.00,48.75,47.50,48.25,820000
2024-01-23,48.25,49.00,47.75,48.50,950000
2024-01-24,48.50,49.25,48.00,48.75,780000
2024-01-25,48.75,49.50,48.25,49.00,880000
2024-01-26,49.00,49.75,48.50,49.25,920000
2024-01-29,49.25,50.00,48.75,49.50,1050000
2024-01-30,49.50,50.25,49.00,49.75,980000
2024-01-31,49.75,50.50,49.25,50.00,1120000
2024-02-01,50.00,50.75,49.50,50.25,1250000
2024-02-02,50.25,51.00,49.75,50.50,1180000
2024-02-05,50.50,51.25,50.00,50.75,1080000
2024-02-06,50.75,51.50,50.25,51.00,990000
2024-02-07,51.00,51.75,50.50,51.25,1040000
2024-02-08,51.25,52.00,50.75,51.50,1180000
2024-02-09,51.50,52.25,51.00,51.75,1220000
2024-02-12,51.75,52.50,51.25,52.00,1350000
